University Name,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
"University of California, Los Angeles",20,20,20,20,19,21,24,23,23,23,24,25
"University of California, Berkeley",20,22,22,22,22,21,20,20,20,20,21,21
"University of California, Santa Barbara",32,28,30,34,30,37,37,37,40,41,41,42
"University of California, San Diego",34,34,35,37,41,42,44,39,37,39,38,37
"University of California, Irvine",34,36,35,36,33,42,39,39,42,49,44,45
"University of California, Davis",38,38,39,39,38,46,44,41,38,39,38,38
"University of California, Santa Cruz",83,103,93,84,70,81,79,82,85,86,77,75
"University of California, Riverside",89,83,87,91,85,124,118,121,113,112,101,97
"University of California, Merced",97,93,93,93,93,93,93,93,93,93,93,93
