EmployerName,WageRank,Year,Position,uni_rank,wage_group,uni_group
"University of California, San Diego",125.0,2014,Assoc Prof-Ay-B/E/E,2.0,1.0,1.0
"University of California, Santa Barbara",146.0,2014,Assoc Prof-Ay-B/E/E,4.0,1.0,2.0
"University of California, Santa Cruz",199.0,2014,Assoc Prof-Ay-B/E/E,6.0,2.0,3.0
"University of California, Berkeley",101.0,2013,Assoc Prof-Ay-B/E/E,0.0,1.0,0.0
"University of California, Davis",190.5,2013,Assoc Prof-Ay-B/E/E,3.0,2.0,1.0
"University of California, Irvine",219.0,2013,Assoc Prof-Ay-B/E/E,5.0,3.0,2.0
"University of California, Los Angeles",84.5,2013,Assoc Prof-Ay-B/E/E,1.0,0.0,0.0
"University of California, Merced",253.0,2013,Assoc Prof-Ay-B/E/E,7.0,4.0,3.0
"University of California, Riverside",253.0,2013,Assoc Prof-Ay-B/E/E,8.0,3.0,4.0
"University of California, San Diego",127.0,2013,Assoc Prof-Ay-B/E/E,2.0,1.0,1.0
"University of California, Santa Barbara",98.0,2013,Assoc Prof-Ay-B/E/E,4.0,0.0,2.0
"University of California, Santa Cruz",193.0,2013,Assoc Prof-Ay-B/E/E,6.0,2.0,3.0
"University of California, Berkeley",534.5,2021,Prof-Ay-B/E/E,1.0,1.0,0.0
"University of California, Davis",801.0,2021,Prof-Ay-B/E/E,5.0,3.0,2.0
"University of California, Irvine",704.5,2021,Prof-Ay-B/E/E,4.0,2.0,2.0
"University of California, Los Angeles",257.0,2021,Prof-Ay-B/E/E,0.0,0.0,0.0
"University of California, Merced",835.0,2021,Prof-Ay-B/E/E,8.0,3.0,4.0
"University of California, Riverside",647.0,2021,Prof-Ay-B/E/E,6.0,2.0,3.0
"University of California, San Diego",584.0,2021,Prof-Ay-B/E/E,3.0,1.0,1.0
"University of California, Santa Barbara",513.5,2021,Prof-Ay-B/E/E,2.0,0.0,1.0
"University of California, Santa Cruz",918.0,2021,Prof-Ay-B/E/E,7.0,4.0,3.0
"University of California, Berkeley",561.0,2020,Prof-Ay-B/E/E,1.0,1.0,0.0
"University of California, Davis",736.5,2020,Prof-Ay-B/E/E,5.0,3.0,2.0
"University of California, Irvine",683.0,2020,Prof-Ay-B/E/E,3.0,2.0,1.0
"University of California, Los Angeles",257.0,2020,Prof-Ay-B/E/E,0.0,0.0,0.0
"University of California, Merced",775.0,2020,Prof-Ay-B/E/E,8.0,3.0,4.0
"University of California, Riverside",630.5,2020,Prof-Ay-B/E/E,7.0,2.0,3.0
"University of California, San Diego",582.0,2020,Prof-Ay-B/E/E,4.0,1.0,2.0
"University of California, Santa Barbara",483.0,2020,Prof-Ay-B/E/E,2.0,0.0,1.0
"University of California, Santa Cruz",958.0,2020,Prof-Ay-B/E/E,6.0,4.0,3.0
"University of California, Berkeley",511.0,2019,Prof-Ay-B/E/E,1.0,1.0,0.0
"University of California, Davis",690.5,2019,Prof-Ay-B/E/E,4.0,3.0,2.0
"University of California, Irvine",645.0,2019,Prof-Ay-B/E/E,3.0,2.0,1.0
"University of California, Los Angeles",275.0,2019,Prof-Ay-B/E/E,0.0,0.0,0.0
"University of California, Merced",681.5,2019,Prof-Ay-B/E/E,8.0,3.0,4.0
"University of California, Riverside",555.5,2019,Prof-Ay-B/E/E,7.0,1.0,3.0
"University of California, San Diego",561.0,2019,Prof-Ay-B/E/E,5.0,2.0,2.0
"University of California, Santa Barbara",428.0,2019,Prof-Ay-B/E/E,2.0,0.0,1.0
"University of California, Santa Cruz",863.0,2019,Prof-Ay-B/E/E,6.0,4.0,3.0
"University of California, Berkeley",536.0,2018,Prof-Ay-B/E/E,1.0,1.0,0.0
"University of California, Davis",758.0,2018,Prof-Ay-B/E/E,5.0,3.0,2.0
"University of California, Irvine",672.5,2018,Prof-Ay-B/E/E,4.0,2.0,2.0
"University of California, Los Angeles",234.0,2018,Prof-Ay-B/E/E,0.0,0.0,0.0
"University of California, Merced",784.0,2018,Prof-Ay-B/E/E,7.0,3.0,3.0
"University of California, Riverside",631.5,2018,Prof-Ay-B/E/E,8.0,2.0,4.0
"University of California, San Diego",526.0,2018,Prof-Ay-B/E/E,3.0,0.0,1.0
"University of California, Santa Barbara",566.0,2018,Prof-Ay-B/E/E,2.0,1.0,1.0
"University of California, Santa Cruz",892.5,2018,Prof-Ay-B/E/E,6.0,4.0,3.0
"University of California, Berkeley",551.0,2017,Prof-Ay-B/E/E,0.0,1.0,0.0
"University of California, Davis",742.5,2017,Prof-Ay-B/E/E,5.0,3.0,2.0
"University of California, Irvine",660.0,2017,Prof-Ay-B/E/E,3.0,2.0,1.0
"University of California, Los Angeles",281.5,2017,Prof-Ay-B/E/E,1.0,0.0,0.0
"University of California, Merced",850.5,2017,Prof-Ay-B/E/E,7.0,3.0,3.0
"University of California, Riverside",696.5,2017,Prof-Ay-B/E/E,8.0,2.0,4.0
"University of California, San Diego",557.0,2017,Prof-Ay-B/E/E,4.0,1.0,2.0
"University of California, Santa Barbara",541.0,2017,Prof-Ay-B/E/E,2.0,0.0,1.0
"University of California, Santa Cruz",907.5,2017,Prof-Ay-B/E/E,6.0,4.0,3.0
"University of California, Berkeley",563.0,2016,Prof-Ay-B/E/E,0.0,1.0,0.0
"University of California, Davis",761.0,2016,Prof-Ay-B/E/E,5.0,3.0,2.0
"University of California, Irvine",612.0,2016,Prof-Ay-B/E/E,4.0,2.0,2.0
"University of California, Los Angeles",283.0,2016,Prof-Ay-B/E/E,1.0,0.0,0.0
"University of California, Merced",656.0,2016,Prof-Ay-B/E/E,7.0,3.0,3.0
"University of California, Riverside",654.0,2016,Prof-Ay-B/E/E,8.0,2.0,4.0
"University of California, San Diego",562.0,2016,Prof-Ay-B/E/E,3.0,1.0,1.0
"University of California, Santa Barbara",506.0,2016,Prof-Ay-B/E/E,2.0,0.0,1.0
"University of California, Santa Cruz",917.0,2016,Prof-Ay-B/E/E,6.0,4.0,3.0
"University of California, Berkeley",504.0,2015,Prof-Ay-B/E/E,0.0,0.0,0.0
"University of California, Davis",725.0,2015,Prof-Ay-B/E/E,3.0,3.0,1.0
"University of California, Irvine",555.0,2015,Prof-Ay-B/E/E,5.0,2.0,2.0
"University of California, Los Angeles",297.0,2015,Prof-Ay-B/E/E,1.0,0.0,0.0
"University of California, Merced",536.0,2015,Prof-Ay-B/E/E,7.0,1.0,3.0
"University of California, Riverside",718.5,2015,Prof-Ay-B/E/E,8.0,3.0,4.0
"University of California, San Diego",583.5,2015,Prof-Ay-B/E/E,2.0,2.0,1.0
"University of California, Santa Barbara",537.0,2015,Prof-Ay-B/E/E,4.0,1.0,2.0
"University of California, Santa Cruz",864.0,2015,Prof-Ay-B/E/E,6.0,4.0,3.0
"University of California, Berkeley",482.0,2014,Prof-Ay-B/E/E,0.0,0.0,0.0
"University of California, Davis",732.5,2014,Prof-Ay-B/E/E,3.0,3.0,1.0
"University of California, Irvine",612.0,2014,Prof-Ay-B/E/E,5.0,2.0,2.0
"University of California, Los Angeles",280.0,2014,Prof-Ay-B/E/E,1.0,0.0,0.0
"University of California, Merced",649.0,2014,Prof-Ay-B/E/E,7.0,2.0,3.0
"University of California, Riverside",754.5,2014,Prof-Ay-B/E/E,8.0,3.0,4.0
"University of California, San Diego",554.5,2014,Prof-Ay-B/E/E,2.0,1.0,1.0
"University of California, Santa Barbara",513.0,2014,Prof-Ay-B/E/E,4.0,1.0,2.0
"University of California, Santa Cruz",862.5,2014,Prof-Ay-B/E/E,6.0,4.0,3.0
"University of California, Berkeley",458.5,2013,Prof-Ay-B/E/E,0.0,0.0,0.0
"University of California, Davis",688.0,2013,Prof-Ay-B/E/E,3.0,3.0,1.0
"University of California, Irvine",569.0,2013,Prof-Ay-B/E/E,5.0,2.0,2.0
"University of California, Los Angeles",284.5,2013,Prof-Ay-B/E/E,1.0,0.0,0.0
"University of California, Merced",636.0,2013,Prof-Ay-B/E/E,7.0,2.0,3.0
"University of California, Riverside",717.0,2013,Prof-Ay-B/E/E,8.0,3.0,4.0
"University of California, San Diego",555.0,2013,Prof-Ay-B/E/E,2.0,1.0,1.0
"University of California, Santa Barbara",500.0,2013,Prof-Ay-B/E/E,4.0,1.0,2.0
"University of California, Santa Cruz",818.0,2013,Prof-Ay-B/E/E,6.0,4.0,3.0
