EmployerName,WageRank,Year,Position,uni_rank,wage_group,uni_group
"University of California, Davis",4808.0,2014,Teachg Asst-Gship,3.0,0.0,1.0
"University of California, Irvine",5613.5,2014,Teachg Asst-Gship,5.0,2.0,2.0
"University of California, Los Angeles",9296.0,2014,Teachg Asst-Gship,1.0,4.0,0.0
"University of California, Merced",3230.5,2014,Teachg Asst-Gship,7.0,0.0,3.0
"University of California, Riverside",4942.5,2014,Teachg Asst-Gship,8.0,1.0,4.0
"University of California, San Diego",6054.0,2014,Teachg Asst-Gship,2.0,3.0,1.0
"University of California, Santa Barbara",5210.0,2014,Teachg Asst-Gship,4.0,2.0,2.0
"University of California, Santa Cruz",5125.5,2014,Teachg Asst-Gship,6.0,1.0,3.0
"University of California, Berkeley",5223.5,2013,Teachg Asst-Gship,0.0,3.0,0.0
"University of California, Irvine",3521.0,2013,Teachg Asst-Gship,5.0,1.0,1.0
"University of California, Los Angeles",6456.0,2013,Teachg Asst-Gship,1.0,4.0,0.0
"University of California, Merced",2857.0,2013,Teachg Asst-Gship,7.0,0.0,3.0
"University of California, Riverside",3280.0,2013,Teachg Asst-Gship,8.0,0.0,4.0
"University of California, San Diego",4408.0,2013,Teachg Asst-Gship,2.0,2.0,1.0
"University of California, Santa Cruz",3689.5,2013,Teachg Asst-Gship,6.0,1.0,2.0
"University of California, Berkeley",3268.5,2021,Postdoc-Employee,1.0,3.0,0.0
"University of California, Davis",3039.0,2021,Postdoc-Employee,5.0,1.0,2.0
"University of California, Irvine",3215.5,2021,Postdoc-Employee,4.0,3.0,2.0
"University of California, Los Angeles",2822.0,2021,Postdoc-Employee,0.0,0.0,0.0
"University of California, Merced",3604.0,2021,Postdoc-Employee,8.0,4.0,4.0
"University of California, Riverside",3147.0,2021,Postdoc-Employee,6.0,2.0,3.0
"University of California, San Diego",2964.5,2021,Postdoc-Employee,3.0,1.0,1.0
"University of California, Santa Barbara",3173.5,2021,Postdoc-Employee,2.0,2.0,1.0
"University of California, Santa Cruz",2897.0,2021,Postdoc-Employee,7.0,0.0,3.0
"University of California, Berkeley",3213.5,2020,Postdoc-Employee,1.0,2.0,0.0
"University of California, Davis",2924.5,2020,Postdoc-Employee,5.0,1.0,2.0
"University of California, Irvine",3097.5,2020,Postdoc-Employee,3.0,2.0,1.0
"University of California, Los Angeles",2659.0,2020,Postdoc-Employee,0.0,0.0,0.0
"University of California, Merced",3340.0,2020,Postdoc-Employee,8.0,3.0,4.0
"University of California, Riverside",3414.0,2020,Postdoc-Employee,7.0,4.0,3.0
"University of California, San Diego",2822.0,2020,Postdoc-Employee,4.0,0.0,2.0
"University of California, Santa Barbara",3062.5,2020,Postdoc-Employee,2.0,1.0,1.0
"University of California, Santa Cruz",3284.0,2020,Postdoc-Employee,6.0,3.0,3.0
"University of California, Berkeley",3185.0,2019,Postdoc-Employee,1.0,1.0,0.0
"University of California, Davis",3310.0,2019,Postdoc-Employee,4.0,2.0,2.0
"University of California, Irvine",3763.0,2019,Postdoc-Employee,3.0,3.0,1.0
"University of California, Los Angeles",2879.5,2019,Postdoc-Employee,0.0,0.0,0.0
"University of California, Merced",3800.0,2019,Postdoc-Employee,8.0,4.0,4.0
"University of California, Riverside",3241.0,2019,Postdoc-Employee,7.0,2.0,3.0
"University of California, San Diego",3146.0,2019,Postdoc-Employee,5.0,1.0,2.0
"University of California, Santa Barbara",2786.0,2019,Postdoc-Employee,2.0,0.0,1.0
"University of California, Santa Cruz",3360.0,2019,Postdoc-Employee,6.0,3.0,3.0
"University of California, Berkeley",3320.0,2018,Postdoc-Employee,1.0,3.0,0.0
"University of California, Davis",3252.0,2018,Postdoc-Employee,5.0,2.0,2.0
"University of California, Irvine",3305.5,2018,Postdoc-Employee,4.0,3.0,2.0
"University of California, Los Angeles",3003.0,2018,Postdoc-Employee,0.0,1.0,0.0
"University of California, Merced",3359.0,2018,Postdoc-Employee,7.0,4.0,3.0
"University of California, Riverside",2914.0,2018,Postdoc-Employee,8.0,0.0,4.0
"University of California, San Diego",3237.5,2018,Postdoc-Employee,3.0,2.0,1.0
"University of California, Santa Barbara",3097.0,2018,Postdoc-Employee,2.0,1.0,1.0
"University of California, Santa Cruz",2944.0,2018,Postdoc-Employee,6.0,0.0,3.0
"University of California, Berkeley",3111.5,2017,Postdoc-Employee,0.0,1.0,0.0
"University of California, Davis",2912.0,2017,Postdoc-Employee,5.0,0.0,2.0
"University of California, Irvine",3221.0,2017,Postdoc-Employee,3.0,3.0,1.0
"University of California, Los Angeles",3149.0,2017,Postdoc-Employee,1.0,1.0,0.0
"University of California, Merced",3405.5,2017,Postdoc-Employee,7.0,4.0,3.0
"University of California, Riverside",3166.0,2017,Postdoc-Employee,8.0,2.0,4.0
"University of California, San Diego",3362.0,2017,Postdoc-Employee,4.0,3.0,2.0
"University of California, Santa Barbara",2817.0,2017,Postdoc-Employee,2.0,0.0,1.0
"University of California, Santa Cruz",3218.5,2017,Postdoc-Employee,6.0,2.0,3.0
"University of California, Berkeley",3179.5,2016,Postdoc-Employee,0.0,2.0,0.0
"University of California, Davis",3087.0,2016,Postdoc-Employee,5.0,2.0,2.0
"University of California, Irvine",3250.5,2016,Postdoc-Employee,4.0,3.0,2.0
"University of California, Los Angeles",2975.0,2016,Postdoc-Employee,1.0,0.0,0.0
"University of California, Merced",3424.0,2016,Postdoc-Employee,7.0,4.0,3.0
"University of California, Riverside",3400.0,2016,Postdoc-Employee,8.0,3.0,4.0
"University of California, San Diego",3062.0,2016,Postdoc-Employee,3.0,1.0,1.0
"University of California, Santa Barbara",2998.0,2016,Postdoc-Employee,2.0,0.0,1.0
"University of California, Santa Cruz",3086.0,2016,Postdoc-Employee,6.0,1.0,3.0
"University of California, Berkeley",3180.5,2015,Postdoc-Employee,0.0,3.0,0.0
"University of California, Davis",2849.0,2015,Postdoc-Employee,3.0,1.0,1.0
"University of California, Irvine",3307.0,2015,Postdoc-Employee,5.0,4.0,2.0
"University of California, Los Angeles",2847.0,2015,Postdoc-Employee,1.0,1.0,0.0
"University of California, Merced",2752.0,2015,Postdoc-Employee,7.0,0.0,3.0
"University of California, Riverside",3122.0,2015,Postdoc-Employee,8.0,2.0,4.0
"University of California, San Diego",3168.0,2015,Postdoc-Employee,2.0,2.0,1.0
"University of California, Santa Barbara",2330.0,2015,Postdoc-Employee,4.0,0.0,2.0
"University of California, Santa Cruz",3239.5,2015,Postdoc-Employee,6.0,3.0,3.0
"University of California, Berkeley",3080.0,2014,Postdoc-Employee,0.0,3.0,0.0
"University of California, Davis",2898.5,2014,Postdoc-Employee,3.0,1.0,1.0
"University of California, Irvine",2796.0,2014,Postdoc-Employee,5.0,0.0,2.0
"University of California, Los Angeles",2845.0,2014,Postdoc-Employee,1.0,1.0,0.0
"University of California, Merced",2949.0,2014,Postdoc-Employee,7.0,2.0,3.0
"University of California, Riverside",3277.0,2014,Postdoc-Employee,8.0,4.0,4.0
"University of California, San Diego",3153.0,2014,Postdoc-Employee,2.0,3.0,1.0
